,State_x,Zipcode,GEOID10_x,CLASSFP10_x,MTFCC10_x,FUNCSTAT10_x,ALAND10_x,AWATER10_x,INTPTLAT10_x,INTPTLON10_x,PARTFLG10_x,State_y,GEOID10_y,CLASSFP10_y,MTFCC10_y,FUNCSTAT10_y,ALAND10_y,AWATER10_y,INTPTLAT10_y,INTPTLON10_y,PARTFLG10_y,geometry
0,34,07002,3407002,B5,G6350,S,15113912.0,2095659.0,+40.6624111,-074.1102284,N,,,,,,,,,,,"POLYGON ((-74.107974 40.69789, -74.107811 40.69618, -74.109813 40.693709, -74.111331 40.690874, -74.113239 40.690125, -74.112205 40.688567, -74.112957 40.687483, -74.1192 40.680205, -74.117103 40.679144, -74.117037 40.678147, -74.119372 40.676099, -74.121338 40.675158, -74.121879 40.674046, -74.124219 40.671772, -74.12577 40.67224, -74.127046 40.670974, -74.127799 40.669206, -74.128075 40.665614, -74.129325 40.665292, -74.130896 40.66606, -74.133383 40.663333, -74.132283 40.661816, -74.133631 40.659076, -74.135894 40.657155, -74.137028 40.657503, -74.138742 40.655623, -74.139826 40.656009, -74.140836 40.654509, -74.140788 40.653025, -74.142563 40.65075, -74.144826 40.650092, -74.144925 40.64817, -74.14626 40.646568, -74.145848 40.644653, -74.143864 40.643631, -74.142009 40.643906, -74.141899 40.642276, -74.133912 40.643684, -74.125569 40.644023, -74.120675 40.645456, -74.109976 40.648011, -74.093746 40.648239, -74.094179 40.649833, -74.087516 40.653691, -74.086042 40.655535, -74.088114 40.655722, -74.088944 40.657699, -74.090771 40.660693, -74.091391 40.662785, -74.091036 40.664673, -74.093797 40.664717, -74.09584 40.664326, -74.098305 40.665752, -74.09951 40.667266, -74.102961 40.669136, -74.093685 40.667389, -74.086556 40.665216, -74.083679 40.664156, -74.084305 40.663148, -74.079077 40.661397, -74.078425 40.662446, -74.070832 40.66023, -74.068318 40.663732, -74.067486 40.665358, -74.065931 40.666915, -74.08256 40.674278, -74.088524 40.676583, -74.095986 40.679702, -74.097977 40.680892, -74.099918 40.685624, -74.097491 40.688465, -74.101659 40.690214, -74.10139 40.691612, -74.102586 40.695102, -74.107974 40.69789))"
1,34,07003,3407003,B5,G6350,S,13695411.0,63006.0,+40.8091275,-074.1871553,N,,,,,,,,,,,"POLYGON ((-74.194196 40.829002, -74.191598 40.828998, -74.193666 40.822833, -74.196988 40.814095, -74.197875 40.812523, -74.195479 40.812623, -74.197012 40.804491, -74.199736 40.800957, -74.201264 40.798371, -74.199862 40.796377, -74.203258 40.794954, -74.205348 40.793087, -74.209174 40.78781, -74.21189 40.7856, -74.20166 40.781789, -74.200604 40.780497, -74.19791 40.780405, -74.196738 40.776447, -74.194362 40.773469, -74.191272 40.770648, -74.189989 40.7686, -74.189454 40.768277, -74.186872 40.774522, -74.186253 40.774661, -74.18676 40.775387, -74.184565 40.780355, -74.182568 40.786814, -74.180748 40.790513, -74.179848 40.793725, -74.179481 40.796487, -74.177063 40.805464, -74.176012 40.808745, -74.175309 40.809489, -74.182189 40.811391, -74.183788 40.812142, -74.180183 40.816214, -74.179128 40.818423, -74.178087 40.819207, -74.176443 40.821854, -74.174992 40.821802, -74.172413 40.825365, -74.162628 40.837869, -74.179403 40.846972, -74.182689 40.848799, -74.187089 40.841099, -74.188047 40.840019, -74.191522 40.834054, -74.191668 40.83324, -74.193812 40.830315, -74.194196 40.829002))"
2,34,07004,3407004,B5,G6350,S,26640205.0,425766.0,+40.8825075,-074.3045935,N,,,,,,,,,,,"POLYGON ((-74.328535 40.844667, -74.318498 40.852136, -74.31033 40.857777, -74.303558 40.862287, -74.293922 40.869413, -74.289946 40.867208, -74.289354 40.867594, -74.284109 40.865815, -74.276607 40.861103, -74.271279 40.859792, -74.27017 40.8598, -74.270997 40.862295, -74.273084 40.871203, -74.270757 40.872662, -74.271914 40.873442, -74.267229 40.876073, -74.265716 40.875866, -74.262504 40.878215, -74.254476 40.883098, -74.256477 40.882871, -74.259813 40.883769, -74.264289 40.886906, -74.265038 40.888937, -74.265649 40.892725, -74.266638 40.894533, -74.26858 40.896031, -74.270702 40.89692, -74.272127 40.897405, -74.275634 40.896977, -74.279363 40.897946, -74.280731 40.897684, -74.282297 40.895622, -74.284616 40.895231, -74.283882 40.897208, -74.287136 40.898219, -74.286563 40.899094, -74.281716 40.899942, -74.282118 40.901116, -74.285381 40.901361, -74.28926 40.899404, -74.291275 40.899776, -74.292447 40.901225, -74.291373 40.901714, -74.292247 40.903205, -74.291629 40.905499, -74.292574 40.905955, -74.296583 40.90604, -74.300841 40.904609, -74.30298 40.904352, -74.303504 40.905391, -74.302362 40.90669, -74.303604 40.907148, -74.305939 40.905315, -74.307838 40.905372, -74.31016 40.904665, -74.312409 40.905399, -74.314503 40.90379, -74.318546 40.903229, -74.318818 40.905617, -74.318493 40.907545, -74.32016 40.907967, -74.321595 40.906895, -74.322957 40.907308, -74.322804 40.908834, -74.326269 40.908499, -74.325271 40.907367, -74.32499 40.905879, -74.32802 40.905626, -74.32801 40.906572, -74.329533 40.908653, -74.330904 40.908075, -74.330799 40.906769, -74.334316 40.905302, -74.335298 40.90211, -74.337159 40.900004, -74.337531 40.898475, -74.334334 40.897555, -74.334347 40.896294, -74.337019 40.896265, -74.33851 40.895507, -74.338999 40.894069, -74.336273 40.893693, -74.33664 40.892569, -74.3389 40.892087, -74.339704 40.888893, -74.338112 40.887758, -74.338427 40.885958, -74.339575 40.883893, -74.340271 40.879528, -74.337894 40.879427, -74.337614 40.878206, -74.335364 40.877653, -74.33531 40.876555, -74.337397 40.876133, -74.337808 40.875101, -74.336254 40.873924, -74.33749 40.872207, -74.336075 40.870406, -74.337474 40.867756, -74.334743 40.86798, -74.332875 40.869174, -74.332681 40.867394, -74.331495 40.866854, -74.329806 40.867128, -74.327958 40.866057, -74.326219 40.86612, -74.325137 40.864952, -74.321938 40.864038, -74.320769 40.864345, -74.320099 40.865999, -74.317813 40.865455, -74.317394 40.864644, -74.318124 40.863046, -74.320995 40.862361, -74.319516 40.860472, -74.319385 40.858457, -74.323194 40.858448, -74.324586 40.858153, -74.326046 40.856491, -74.325323 40.854608, -74.326827 40.852758, -74.32735 40.850673, -74.32991 40.849161, -74.328535 40.844667))"
3,34,07005,3407005,B5,G6350,S,48732295.0,4331798.0,+40.9327715,-074.4173039,N,,,,,,,,,,,"POLYGON ((-74.36999283595222 40.95817902616365, -74.36999283595222 40.954626644300824, -74.367669 40.955063, -74.36491 40.95447, -74.363667 40.955394, -74.363304 40.957444, -74.363914 40.957849, -74.36999283595222 40.95817902616365))"
4,34,07006,3407006,B5,G6350,S,23950198.0,53397.0,+40.8511872,-074.2828651,N,,,,,,,,,,,"POLYGON ((-74.329172 40.838299, -74.320756 40.835204, -74.314817 40.832608, -74.31289 40.831984, -74.311934 40.832998, -74.305069 40.829393, -74.301499 40.826801, -74.298346 40.83042, -74.299695 40.831591, -74.294056 40.833555, -74.290891 40.833631, -74.288438 40.83436, -74.287288 40.833499, -74.28319 40.834096, -74.281899 40.835113, -74.279158 40.832575, -74.276898 40.831143, -74.274891 40.832482, -74.269059 40.829529, -74.268619 40.830394, -74.266156 40.832076, -74.264808 40.835277, -74.259805 40.834876, -74.259357 40.836363, -74.257598 40.837577, -74.256796 40.83891, -74.256875 40.840656, -74.251892 40.849829, -74.250057 40.853041, -74.249129 40.852773, -74.248096 40.855172, -74.249591 40.85553, -74.248691 40.857399, -74.244591 40.860599, -74.242997 40.863301, -74.242095 40.874701, -74.249832 40.876979, -74.246691 40.880799, -74.2531 40.881561, -74.254476 40.883098, -74.262504 40.878215, -74.265716 40.875866, -74.267229 40.876073, -74.271914 40.873442, -74.270757 40.872662, -74.273084 40.871203, -74.270997 40.862295, -74.27017 40.8598, -74.271279 40.859792, -74.276607 40.861103, -74.284109 40.865815, -74.289354 40.867594, -74.289946 40.867208, -74.293922 40.869413, -74.303558 40.862287, -74.31033 40.857777, -74.318498 40.852136, -74.328535 40.844667, -74.325793 40.843914, -74.327113 40.841867, -74.329317 40.841475, -74.328847 40.840621, -74.329172 40.838299))"
